Reference,review_block,source_raw,label_from_local,label_until_local,label_from_utc,label_until_utc,suggested_mov_type,mov_type,label_quality,review_notes,duration_s,windows,samples,feet_min,motion_score_mean,motion_score_min,motion_score_max,acc_std_mean,gyro_std_mean,low_threshold,high_threshold
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 20:59:26,2026-04-25 21:00:08,2026-04-25T18:59:26Z,2026-04-25T19:00:08Z,not_walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,42.0,42,4078,2,0.0,0.0,0.0,0.0011967574996886,1.0088952993724074,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:00:15,2026-04-25 21:00:47,2026-04-25T19:00:15Z,2026-04-25T19:00:47Z,not_walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,32.0,32,3126,2,0.0,0.0,0.0,0.0014236916357225,1.7878063417291452,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:13:20,2026-04-25 21:13:59,2026-04-25T19:13:20Z,2026-04-25T19:13:59Z,not_walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,39.0,39,3813,2,0.0,0.0,0.0,0.0016843040438531,0.2288808570871227,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:02:34,2026-04-25 21:03:19,2026-04-25T19:02:34Z,2026-04-25T19:03:19Z,walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,45.0,45,4388,2,40.70374111359207,36.26976366457675,45.598488386966,0.5150031345469137,130.92611966980064,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0001_2026_04_25_204904_2026_04_25_211904_raw.parquet,2026-04-25 21:04:32,2026-04-25 21:06:56,2026-04-25T19:04:32Z,2026-04-25T19:06:56Z,walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,144.0,144,14018,2,40.53647966229336,35.96657406600338,45.994074504523525,0.5139030854210502,129.7492082869851,0.0,35.871458911608286
AAMALMHUG057-66,AAMALMHUG057_66_block0002_2026_04_25_210728_2026_04_25_213728,salidas_test/new_influx_labeling_batch/raw_blocks/AAMALMHUG057_66_block0002_2026_04_25_210728_2026_04_25_213728_raw.parquet,2026-04-25 21:07:28,2026-04-25 21:10:03,2026-04-25T19:07:28Z,2026-04-25T19:10:03Z,walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,155.0,155,15087,2,381.6892344111559,10.429703522240796,509.514881989347,0.3816022321172636,111.7782690338328,0.0,5.157406330908966
CHIHUG033-15,CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854,salidas_test/new_influx_labeling_batch/raw_blocks/CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854_raw.parquet,2026-03-03 13:16:33,2026-03-03 13:18:26,2026-03-03T12:16:33Z,2026-03-03T12:18:26Z,not_walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,113.0,113,22392,2,0.0,0.0,0.0,0.0001219803833281,0.1739295560177305,0.0,101.02935382135416
CHIHUG033-15,CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854,salidas_test/new_influx_labeling_batch/raw_blocks/CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854_raw.parquet,2026-03-03 13:21:48,2026-03-03 13:22:36,2026-03-03T12:21:48Z,2026-03-03T12:22:36Z,not_walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,48.0,48,9276,2,0.0,0.0,0.0,0.0003170569036262,0.177298309289196,0.0,101.02935382135416
CHIHUG033-15,CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854,salidas_test/new_influx_labeling_batch/raw_blocks/CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854_raw.parquet,2026-03-03 13:23:30,2026-03-03 13:24:04,2026-03-03T12:23:30Z,2026-03-03T12:24:04Z,not_walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,34.0,34,11976,2,0.0,0.0,0.0,6.841330637433792e-05,0.1702069538705451,0.0,101.02935382135416
CHIHUG033-15,CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854,salidas_test/new_influx_labeling_batch/raw_blocks/CHIHUG033_15_block0001_2026_03_03_125854_2026_03_03_132854_raw.parquet,2026-03-03 13:07:37,2026-03-03 13:08:01,2026-03-03T12:07:37Z,2026-03-03T12:08:01Z,walking,,,Sugerencia heuristica por energia de acelerometro/giroscopio; revisar en Grafana.,24.0,24,4458,2,120.57552333630308,103.32144784987848,138.63675556197094,0.5101505586558231,91.37524928268328,0.0,101.02935382135416
