scope,threshold,rows,accuracy,precision_walking,recall_walking,f1_walking,tn,fp,fn,tp
new_patient,0.01,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.02,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.03,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.04,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.05,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.06,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.07,432,0.0,0.0,0.0,0.0,0,432,0,0
new_patient,0.08,432,0.0023148148148148147,0.0,0.0,0.0,1,431,0,0
new_patient,0.09,432,0.0023148148148148147,0.0,0.0,0.0,1,431,0,0
new_patient,0.1,432,0.0023148148148148147,0.0,0.0,0.0,1,431,0,0
new_patient,0.11,432,0.0023148148148148147,0.0,0.0,0.0,1,431,0,0
new_patient,0.12,432,0.011574074074074073,0.0,0.0,0.0,5,427,0,0
new_patient,0.13,432,0.013888888888888888,0.0,0.0,0.0,6,426,0,0
new_patient,0.14,432,0.013888888888888888,0.0,0.0,0.0,6,426,0,0
new_patient,0.15,432,0.016203703703703703,0.0,0.0,0.0,7,425,0,0
new_patient,0.16,432,0.018518518518518517,0.0,0.0,0.0,8,424,0,0
new_patient,0.17,432,0.032407407407407406,0.0,0.0,0.0,14,418,0,0
new_patient,0.18,432,0.041666666666666664,0.0,0.0,0.0,18,414,0,0
new_patient,0.19,432,0.05324074074074074,0.0,0.0,0.0,23,409,0,0
new_patient,0.2,432,0.06944444444444445,0.0,0.0,0.0,30,402,0,0
new_patient,0.21,432,0.08564814814814815,0.0,0.0,0.0,37,395,0,0
new_patient,0.22,432,0.10648148148148148,0.0,0.0,0.0,46,386,0,0
new_patient,0.23,432,0.11574074074074074,0.0,0.0,0.0,50,382,0,0
new_patient,0.24,432,0.13657407407407407,0.0,0.0,0.0,59,373,0,0
new_patient,0.25,432,0.1875,0.0,0.0,0.0,81,351,0,0
new_patient,0.26,432,0.2037037037037037,0.0,0.0,0.0,88,344,0,0
new_patient,0.27,432,0.2175925925925926,0.0,0.0,0.0,94,338,0,0
new_patient,0.28,432,0.2361111111111111,0.0,0.0,0.0,102,330,0,0
new_patient,0.29,432,0.26157407407407407,0.0,0.0,0.0,113,319,0,0
new_patient,0.3,432,0.29398148148148145,0.0,0.0,0.0,127,305,0,0
new_patient,0.31,432,0.3148148148148148,0.0,0.0,0.0,136,296,0,0
new_patient,0.32,432,0.3263888888888889,0.0,0.0,0.0,141,291,0,0
new_patient,0.33,432,0.36342592592592593,0.0,0.0,0.0,157,275,0,0
new_patient,0.34,432,0.3819444444444444,0.0,0.0,0.0,165,267,0,0
new_patient,0.35,432,0.4074074074074074,0.0,0.0,0.0,176,256,0,0
new_patient,0.36,432,0.42592592592592593,0.0,0.0,0.0,184,248,0,0
new_patient,0.37,432,0.4351851851851852,0.0,0.0,0.0,188,244,0,0
new_patient,0.38,432,0.44675925925925924,0.0,0.0,0.0,193,239,0,0
new_patient,0.39,432,0.4699074074074074,0.0,0.0,0.0,203,229,0,0
new_patient,0.4,432,0.48842592592592593,0.0,0.0,0.0,211,221,0,0
new_patient,0.41,432,0.5046296296296297,0.0,0.0,0.0,218,214,0,0
new_patient,0.42,432,0.5208333333333334,0.0,0.0,0.0,225,207,0,0
new_patient,0.43,432,0.5300925925925926,0.0,0.0,0.0,229,203,0,0
new_patient,0.44,432,0.5462962962962963,0.0,0.0,0.0,236,196,0,0
new_patient,0.45,432,0.5625,0.0,0.0,0.0,243,189,0,0
new_patient,0.46,432,0.5810185185185185,0.0,0.0,0.0,251,181,0,0
new_patient,0.47,432,0.5949074074074074,0.0,0.0,0.0,257,175,0,0
new_patient,0.48,432,0.6041666666666666,0.0,0.0,0.0,261,171,0,0
new_patient,0.49,432,0.6134259259259259,0.0,0.0,0.0,265,167,0,0
new_patient,0.5,432,0.6273148148148148,0.0,0.0,0.0,271,161,0,0
new_patient,0.51,432,0.6481481481481481,0.0,0.0,0.0,280,152,0,0
new_patient,0.52,432,0.6574074074074074,0.0,0.0,0.0,284,148,0,0
new_patient,0.53,432,0.6712962962962963,0.0,0.0,0.0,290,142,0,0
new_patient,0.54,432,0.6805555555555556,0.0,0.0,0.0,294,138,0,0
new_patient,0.55,432,0.6875,0.0,0.0,0.0,297,135,0,0
new_patient,0.56,432,0.7013888888888888,0.0,0.0,0.0,303,129,0,0
new_patient,0.57,432,0.7129629629629629,0.0,0.0,0.0,308,124,0,0
new_patient,0.58,432,0.7222222222222222,0.0,0.0,0.0,312,120,0,0
new_patient,0.59,432,0.7314814814814815,0.0,0.0,0.0,316,116,0,0
new_patient,0.6,432,0.7384259259259259,0.0,0.0,0.0,319,113,0,0
new_patient,0.61,432,0.7453703703703703,0.0,0.0,0.0,322,110,0,0
new_patient,0.62,432,0.7592592592592593,0.0,0.0,0.0,328,104,0,0
new_patient,0.63,432,0.7662037037037037,0.0,0.0,0.0,331,101,0,0
new_patient,0.64,432,0.7754629629629629,0.0,0.0,0.0,335,97,0,0
new_patient,0.65,432,0.7824074074074074,0.0,0.0,0.0,338,94,0,0
new_patient,0.66,432,0.7962962962962963,0.0,0.0,0.0,344,88,0,0
new_patient,0.67,432,0.8101851851851852,0.0,0.0,0.0,350,82,0,0
new_patient,0.68,432,0.8148148148148148,0.0,0.0,0.0,352,80,0,0
new_patient,0.69,432,0.8287037037037037,0.0,0.0,0.0,358,74,0,0
new_patient,0.7,432,0.8425925925925926,0.0,0.0,0.0,364,68,0,0
new_patient,0.71,432,0.8518518518518519,0.0,0.0,0.0,368,64,0,0
new_patient,0.72,432,0.8657407407407407,0.0,0.0,0.0,374,58,0,0
new_patient,0.73,432,0.875,0.0,0.0,0.0,378,54,0,0
